,Unnamed: 0,id,species,#reads_downloaded,#reads_before,#reads_after,#contigs_before,#contigs_after,genome_size
0,0,SRR15979786,Formica subpolita,32264743,32264743,,,,
1,1,SRR15979787,Formica obscuripes,15130809,10555740,7015656,152807.0,72236.0,
2,2,SRR15979789,Formica sibylla,15699436,11216417,8687228,73416.0,37059.0,
3,3,SRR15979790,Formica obscuriventris,10925009,5650066,3360074,331581.0,223048.0,
4,4,SRR15979791,Formica sibylla,18108818,13120074,10323602,67689.0,34626.0,
5,5,SRR15979792,Formica dakotensis,15023849,11561169,6909691,179013.0,143755.0,
6,6,SRR15979794,Formica argentea,16646628,12426491,9503901,76024.0,39428.0,
7,7,SRR15979795,Formica francoeuri,14870364,11005019,8809607,70477.0,41601.0,
8,8,SRR15979796,Formica aserva,16454091,12243104,10010553,56915.0,35249.0,
9,9,SRR15979797,Formica argentea,11923667,11923667,,,,
10,10,SRR15979800,Formica candida,14603157,7889008,6153980,283301.0,246578.0,
11,11,SRR15979801,Formica cf. integra F0010,9999971,5341833,3155805,380128.0,218895.0,
12,12,SRR15979802,Formica gnava,11307313,5977625,4529000,205801.0,197101.0,
13,13,SRR15979803,Formica subsericea,10383948,5124788,2643651,265013.0,220725.0,
14,14,SRR15979804,Formica glacialis,11615457,11615457,,,,
15,15,SRR15979805,Formica knighti,18882890,18882890,,,,
16,16,SRR15979806,Formica incerta,15370155,11544971,8838171,84240.0,57724.0,
17,17,SRR15979807,Formica integroides,14602132,10483786,7084397,183084.0,90678.0,
18,18,SRR15979808,Formica argentea,13538585,13538585,,,,
19,19,SRR15979809,Formica transmontanis,22099673,22099673,,,,
20,20,SRR15979810,Formica cf. xerophila F0140,12701799,12701799,,,,
21,21,SRR15979811,Formica xerophila,22994964,22994964,,,,
22,22,SRR15979812,Formica subpolita,13213929,13213929,,,,
23,23,SRR15979813,Formica rufibarbis,22967978,12748440,9979685,233581.0,168771.0,
24,24,SRR15979814,Formica orangea,17996203,9726567,7508211,360872.0,273891.0,
25,25,SRR15979815,Formica fossaceps,10224564,5991890,3655848,273466.0,244903.0,
26,26,SRR15979816,Formica cf. sibylla F0133,11171089,5577520,3315739,290860.0,230553.0,
27,27,SRR15979817,Formica nr. occulta F0131,25738632,25738632,,,,
28,28,SRR15979818,Formica neorufibarbis,20354889,10366839,8452436,170367.0,124738.0,
29,29,SRR15979819,Formica puberula,12068663,6193528,3876700,349582.0,244854.0,
30,30,SRR15979820,Formica glacialis,24944193,24944193,,,,
31,31,SRR15979821,Formica gagates,10246627,4534390,3121004,237783.0,231227.0,
32,32,SRR15979822,Formica cunicularia,9704419,5180968,3295725,281659.0,232841.0,
33,33,SRR15979823,Formica nr. montana F0117,10492596,5340985,2694867,235640.0,181625.0,
34,34,SRR15979824,Formica propatula,9114621,9114621,,,,
35,35,SRR15979825,Formica integroides,12604510,6279018,3813034,355556.0,247649.0,
36,36,SRR15979826,Formica coloradensis,6367273,3754275,2248723,265617.0,213653.0,
37,37,SRR15979827,Formica hewitti,22022493,11606797,8108130,187521.0,146296.0,
38,38,SRR15979828,Formica argentea,13402461,13402461,,,,
39,39,SRR15979829,Formica neoclara,28580522,28580522,,,,
40,40,SRR15979830,Formica gnava,1536978,871234,305374,57339.0,56654.0,
41,41,SRR15979831,Formica subaenescens,8330674,5053587,3294293,287957.0,254930.0,
42,42,SRR15979832,Formica foreliana,9938700,6136495,5204809,274453.0,268575.0,
43,43,SRR15979833,Formica canadensis,10121731,5962241,3720227,300952.0,247596.0,
44,44,SRR15979834,Formica subaenescens,7324338,4009455,2219085,209067.0,158191.0,
45,45,SRR15979835,Formica cf. altipetens F0100,4757129,2625356,1251426,161948.0,131152.0,
46,46,SRR15979836,Formica altipetens,4914347,2800774,1389120,171019.0,137666.0,
47,47,SRR15979837,Formica ciliata,8950485,5176911,3109166,336898.0,238984.0,
48,48,SRR15979838,Formica aerata,4824766,2801428,1576956,215412.0,205060.0,
