key,SRR
Fseli,SRR15845528
Femei,SRR15979862
Fknii,SRR15979805
Fwhei,SRR15979857
Isuba,SRR15979859
Flass,SRR15979866
Fpica,SRR15845526
Fdola,SRR15979852
Ftomi,SRR15845580
Fmona,SRR15979823
Finta,SRR15979801
Fpera,SRR15979867
Pvins,SRR15845487
Fmani,SRR15979869
Fsiba2,SRR15979791
Fsiba1,SRR15979789
Fnevs,SRR15979845
Ftras,SRR15979809
Fobsi,SRR15979790
Fobse,SRR15979787
Facca,SRR15979839
Fasea2,SRR15979796
Fasea1,SRR15979864
Flugs,SRR15845510
Farci,SRR15979853
Ffena,SRR15845499
Foraa,SRR15979814
Fneoa2,SRR15979848
Fneoa1,SRR15979829
Fcina2,SRR15845610
Fcina1,SRR15845621
Faera,SRR15979838
Fpuba,SRR15979819
Fgnaa2,SRR15979802
Fgnaa1,SRR15979830
Ffora,SRR15979832
Fasea3,SRR15979865
Fgags,SRR15979821
Fhewi,SRR15979827
Fcana,SRR15979800
Pmexs,SRR15845476
Ffusc,SRR15845569
Ffuse,SRR15845521
Fsubt1,SRR15979812
Fsuba,SRR15979803
Farga2,SRR15979794
Farga1,SRR15979797
Fneoe,SRR15979868
Fneoi,SRR15979818
Fcans,SRR15979833
Fsubc1,SRR15979834
Fsubn,SRR15979874
Focca,SRR15979817
Fdaks2,SRR15979792
Fdaks1,SRR15979851
Flemi2,SRR15845377
Flemi1,SRR15845293
Fplas,SRR15979872
Furas,SRR15979875
Fexss,SRR15979871
Fcuna,SRR15979822
Ffrai,SRR15979795
Fpres,SRR15845558
Fsana,SRR15845536
Fpola,SRR15979876
Farga3,SRR15979828
Ffoss,SRR15979815
Fexsa2,SRR15845527
Fexsa1,SRR5819598
Flemi3,SRR15845282
Fsiba3,SRR15979816
Frefa,SRR15979842
Fnepa,SRR15979846
Ffros,SRR15979878
Fexsa3,SRR15845488
Fpala,SRR15979854
Frava,SRR15979873
Fints2,SRR15979807
Fints1,SRR15979825
Fxera2,SRR15979810
Fxera1,SRR15979811
Fcols,SRR15979826
Fperi,SRR15979861
Fquea,SRR15979844
Fcila,SRR15979837
Ftrum2,SRR15845271
Ftrum1,SRR15845632
Falts2,SRR15979835
Falts1,SRR15979836
Fsubc2,SRR15979831
Finca2,SRR15979806
Finca1,SRR15979855
Fsubt2,SRR15979786
Fobta,SRR15979863
Fpras,SRR15845547
Fruba2,SRR15979860
Fruba1,SRR15979858
Fulki,SRR15979870
Fglas2,SRR15979820
Fglas1,SRR15979804
Frufs2,SRR15979813
Frufs1,SRR15845591
Fprol,SRR15979824
Fprou,SRR15979879
Fdens2,SRR15979850
Fdens1,SRR15979847
Frufa,SRR15979877
Farga4,SRR15979808
