,id,species,#reads_downloaded,#reads_before,#reads_after,#contigs_before,#contigs_after,genome_size
0,SRR15979786,Formica subpolita,32264743,32264743,,,,
1,SRR15979787,Formica obscuripes,15130809,10555740,,152807,72236,
2,SRR15979789,Formica sibylla,15699436,11216417,,73416,37059,
3,SRR15979790,Formica obscuriventris,10925009,5650066,,331581,223048,
4,SRR15979791,Formica sibylla,18108818,13120074,,67689,34626,
5,SRR15979792,Formica dakotensis,15023849,11561169,,179013,143755,
6,SRR15979794,Formica argentea,16646628,12426491,,76024,39428,
7,SRR15979795,Formica francoeuri,14870364,11005019,,70477,41601,
8,SRR15979796,Formica aserva,16454091,12243104,,56915,35249,
9,SRR15979797,Formica argentea,11923667,11923667,,,,
10,SRR15979800,Formica candida,14603157,7889008,,283301,246578,
11,SRR15979801,Formica cf. integra F0010,9999971,5341833,,380128,218895,
12,SRR15979802,Formica gnava,11307313,5977625,,205801,197101,
13,SRR15979803,Formica subsericea,10383948,5124788,,265013,220725,
14,SRR15979804,Formica glacialis,11615457,11615457,,,,
15,SRR15979805,Formica knighti,18882890,18882890,,,,
16,SRR15979806,Formica incerta,15370155,11544971,,84240,57724,
17,SRR15979807,Formica integroides,14602132,10483786,,183084,90678,
18,SRR15979808,Formica argentea,13538585,13538585,,,,
19,SRR15979809,Formica transmontanis,22099673,22099673,,,,
20,SRR15979810,Formica cf. xerophila F0140,12701799,12701799,,,,
21,SRR15979811,Formica xerophila,22994964,22994964,,,,
22,SRR15979812,Formica subpolita,13213929,13213929,,,,
23,SRR15979813,Formica rufibarbis,22967978,12748440,,233581,168771,
24,SRR15979814,Formica orangea,17996203,9726567,,360872,273891,
25,SRR15979815,Formica fossaceps,10224564,5991890,,273466,244903,
26,SRR15979816,Formica cf. sibylla F0133,11171089,5577520,,290860,230553,
27,SRR15979817,Formica nr. occulta F0131,25738632,25738632,,,,
28,SRR15979818,Formica neorufibarbis,20354889,10366839,,170367,124738,
29,SRR15979819,Formica puberula,12068663,6193528,,349582,244854,
30,SRR15979820,Formica glacialis,24944193,24944193,,,,
31,SRR15979821,Formica gagates,10246627,4534390,,237783,231227,
32,SRR15979822,Formica cunicularia,9704419,5180968,,281659,232841,
33,SRR15979823,Formica nr. montana F0117,10492596,5340985,,235640,181625,
34,SRR15979824,Formica propatula,9114621,9114621,,,,
35,SRR15979825,Formica integroides,12604510,6279018,,355556,247649,
36,SRR15979826,Formica coloradensis,6367273,3754275,,265617,213653,
37,SRR15979827,Formica hewitti,22022493,11606797,,187521,146296,
38,SRR15979828,Formica argentea,13402461,13402461,,,,
39,SRR15979829,Formica neoclara,28580522,28580522,,,,
40,SRR15979830,Formica gnava,1536978,871234,,57339,56654,
41,SRR15979831,Formica subaenescens,8330674,5053587,,287957,254930,
42,SRR15979832,Formica foreliana,9938700,6136495,,274453,268575,
43,SRR15979833,Formica canadensis,10121731,5962241,,300952,247596,
44,SRR15979834,Formica subaenescens,7324338,4009455,,209067,158191,
45,SRR15979835,Formica cf. altipetens F0100,4757129,2625356,,161948,131152,
46,SRR15979836,Formica altipetens,4914347,2800774,,171019,137666,
47,SRR15979837,Formica ciliata,8950485,5176911,,336898,238984,
48,SRR15979838,Formica aerata,4824766,2801428,,215412,205060,
49,SRR15979839,Formica accreta,6851033,3883639,,197687,182553,
50,SRR15979842,Formica reflexa,12512583,6262497,,307890,254857,
51,SRR15979844,Formica querquetulana,16290268,16290268,,,,
52,SRR15979845,Formica nevadensis,10353091,5415946,,313213,223719,
53,SRR15979846,Formica nepticula,11484559,6499240,,358224,253855,
54,SRR15979847,Formica cf. densiventris F0075,8788223,4818388,,312026,232097,
55,SRR15979848,Formica neoclara,16530892,12066290,,67150,37057,
56,SRR15979850,Formica densiventris,12087558,6526841,,368769,269428,
57,SRR15979851,Formica dakotensis,12142982,6684114,,306759,236431,
58,SRR15979852,Formica dolosa,15966877,10210171,,169767,152741,
59,SRR15979853,Formica archboldi,11761507,7426616,,232718,218912,
60,SRR15979854,Formica pallidefulva,19524264,11468986,,171310,143300,
61,SRR15979855,Formica incerta,15087048,15087048,,,,
62,SRR15979857,Formica wheeleri,13861931,8324533,,366424,257282,
63,SRR15979858,Formica rubicunda,7186875,3969958,,200757,134076,
64,SRR15979859,Iberoformica subrufa,17609560,9088275,,262197,229554,
65,SRR15979860,Formica rubicunda,14763383,8526422,,358858,234645,
66,SRR15979861,Formica pergandei,12020184,6775174,,356034,234540,
67,SRR15979862,Formica emeryi,10181877,5864621,,342252,240942,
68,SRR15979863,Formica obtusopilosa,11753344,11753344,,,,
69,SRR15979864,Formica aserva,12693894,7404306,,364257,250871,
70,SRR15979865,Formica aserva,10915349,6233844,,344960,254281,
71,SRR15979866,Formica lasioides,47551858,47551858,,,,
72,SRR15979867,Formica perpilosa,,,,,,
73,SRR15979868,Formica neogagates,10760194,6310886,,248367,237424,
74,SRR15979869,Formica manni,18107120,10219406,,144809,130028,
75,SRR15979870,Formica ulkei,13155182,9643036,,96798,61880,
76,SRR15979871,Formica exsectoides,17236026,17236026,,,,
77,SRR15979872,Formica cf. planipilis F0028,9784153,5752374,,328382,241639,
78,SRR15979873,Formica ravida,11014580,6403831,,294522,240798,
79,SRR15979874,Formica subnitens,14934971,8646155,,362700,261340,
80,SRR15979875,Formica uralensis,18931457,18931457,,,,
81,SRR15979876,Formica polyctena,14251561,8338465,,382544,262474,
82,SRR15979877,Formica rufa,13177632,7429688,,370990,249011,
83,SRR15979878,Formica cf. frontalis F0017,15286794,9319881,,314362,223740,
84,SRR15979879,Formica propinqua,37737310,37737310,,,,
85,SRR15845610,Formica cinerea,22989217,22989217,,,,
86,SRR15845621,Formica cinerea,25139679,25139679,,,,
87,SRR15845632,Formica truncorum,21810495,21810495,,,,
88,SRR15845271,Formica truncorum,22682748,22682748,,,,
89,SRR15845282,Formica lemani,23219842,23219842,,,,
90,SRR15845293,Formica lemani,26164220,26164220,,,,
91,SRR15845377,Formica lemani,22725962,22725962,,,,
92,SRR15845476,Polyergus mexicanus,19736220,14999750,,275273,56046,
93,SRR15845487,Polyergus vinosus,13211860,9861619,,264404,67318,
94,SRR15845488,Formica exsecta,22785148,22785148,,,,
95,SRR15845499,Formica fennica,14021382,9850415,,149399,81502,
96,SRR15845510,Formica lugubris,15291636,10873909,,162023,73207,
97,SRR15845521,Formica fuscocinerea,16652775,12280852,,129704,86554,
98,SRR15845526,Formica picea,25084958,25084958,,,,
99,SRR15845527,Formica exsecta,23962129,23962129,,2765514,,
100,SRR15845528,Formica selysi,39350378,39350378,,,,
101,SRR15845536,Formica sanguinea,13607703,9766529,,137760,80151,
102,SRR15845547,Formica pratensis,15609531,11580044,,94199,54910,
103,SRR15845558,Formica pressilabris,15685221,11529548,,121791,67202,
104,SRR15845569,Formica fusca,12093679,8821547,,109043,60139,
105,SRR15845580,Formica tombeuri,15022324,10841386,,88144,42310,
106,SRR15845591,Formica rufibarbis,24508591,24508591,,,,
