id,species,key,#reads_downloaded,#reads_before,#reads_clean,#contigs_before,#contigs_clean,genome_size,coverage,busco
SRR15979786,Formica subpolita,Fsubt2,32264743,32264743,14334502,507105,176287,461267308,4.56,"C:46.3%[S:45.8%,D:0.5%],F:40.1%,M:13.6%,n:954,E:2.3%   "
SRR15979787,Formica obscuripes,Fobse,15130809,10555740,7015656,152807,72236,341388137,3.04,"C:90.7%[S:90.0%,D:0.7%],F:8.0%,M:1.3%,n:954,E:3.6%   "
SRR15979789,Formica sibylla,Fsiba1,15699436,11216417,8687228,73416,37059,362091663,3.56,"C:97.3%[S:96.3%,D:1.0%],F:2.0%,M:0.7%,n:954,E:4.5%   "
SRR15979790,Formica obscuriventris,Fobsi,10925009,5650066,3360074,331581,223048,309181429,1.09,"C:6.9%[S:6.9%,D:0.0%],F:52.6%,M:40.5%,n:954,E:7.6%   "
SRR15979791,Formica sibylla,Fsiba2,18108818,13120074,10323602,67689,34626,332433983,4.61,"C:97.4%[S:96.5%,D:0.9%],F:1.8%,M:0.8%,n:954,E:3.8%   "
SRR15979792,Formica dakotensis,Fdaks2,15023849,11561169,6909691,179013,143755,464419432,2.21,"C:74.1%[S:73.9%,D:0.2%],F:21.8%,M:4.1%,n:954,E:5.2%   "
SRR15979794,Formica argentea,Farga2,16646628,12426491,9503901,76024,39428,380722684,3.71,"C:96.0%[S:95.1%,D:0.9%],F:3.4%,M:0.6%,n:954,E:4.5%   "
SRR15979795,Formica francoeuri,Ffrai,14870364,11005019,8809607,70477,41601,291627746,4.51,"C:95.7%[S:94.7%,D:1.0%],F:3.7%,M:0.6%,n:954,E:3.8%   "
SRR15979796,Formica aserva,Fasea2,16454091,12243104,10010553,56915,35249,358168154,4.16,"C:96.9%[S:96.0%,D:0.9%],F:2.5%,M:0.6%,n:954,E:4.5%   "
SRR15979797,Formica argentea,Farga1,11923667,11923667,3866181,310981,247229,323123478,1.21,"C:11.6%[S:11.6%,D:0.0%],F:60.8%,M:27.6%,n:954,E:7.2%   "
SRR15979800,Formica candida,Fcana,14603157,7889008,6153980,283301,246578,290880942,2.13,"C:38.6%[S:38.5%,D:0.1%],F:50.3%,M:11.1%,n:954,E:5.2%   "
SRR15979801,Formica cf. integra F0010,Finta,9999971,5341833,3155805,380128,218895,312132414,1.02,"C:4.8%[S:4.8%,D:0.0%],F:54.5%,M:40.7%,n:954,E:4.3%   "
SRR15979802,Formica gnava,Fgnaa2,11307313,5977625,4529000,205801,197101,220307491,2.07,"C:48.6%[S:48.6%,D:0.0%],F:43.1%,M:8.3%,n:954,E:4.7%   "
SRR15979803,Formica subsericea,Fsuba,10383948,5124788,2643651,265013,220725,298295945,0.89,"C:6.6%[S:6.6%,D:0.0%],F:54.6%,M:38.8%,n:954,E:4.8%   "
SRR15979804,Formica glacialis,Fglas1,11615457,11615457,3173274,261858,202131,360133730,0.89,"C:4.9%[S:4.9%,D:0.0%],F:50.8%,M:44.3%,n:954,E:6.4%   "
SRR15979805,Formica knighti,Fknii,18882890,18882890,8046844,385777,248993,435456283,1.86,"C:23.2%[S:23.1%,D:0.1%],F:59.0%,M:17.8%,n:954,E:5.9%   "
SRR15979806,Formica incerta,Finca2,15370155,11544971,8838171,84240,57724,397754456,3.32,"C:95.3%[S:94.1%,D:1.2%],F:3.6%,M:1.1%,n:954,E:3.7%   "
SRR15979807,Formica integroides,Fints2,14602132,10483786,7084397,183084,90678,364113435,2.88,"C:86.3%[S:85.3%,D:1.0%],F:11.8%,M:1.9%,n:954,E:4.2%   "
